Course ID,Topic Name,Topic Link
49701,supervised learning,http%3A%2F%2Fdbpedia.org%2Fresource%2FSupervised_learning
49701,unsupervised learning,http%3A%2F%2Fdbpedia.org%2Fresource%2FUnsupervised_learning
49701,semi-supervised learning,http%3A%2F%2Fdbpedia.org%2Fresource%2FSemi-supervised_learning
49701,transfer learning,http%3A%2F%2Fdbpedia.org%2Fresource%2FInductive_transfer
49701,random forests,http%3A%2F%2Fdbpedia.org%2Fresource%2FRandom_forest
49701,deep learning,http%3A%2F%2Fdbpedia.org%2Fresource%2FDeep_learning
5904,non-linear editing,http%3A%2F%2Fdbpedia.org%2Fresource%2FNon-linear_editing_system
5944,city streets,http%3A%2F%2Fdbpedia.org%2Fresource%2FCity_Streets_%28film%29
5944,Montreal,http%3A%2F%2Fdbpedia.org%2Fresource%2FMontreal
5956,orchestration,http%3A%2F%2Fdbpedia.org%2Fresource%2FOrchestration
6293,COMMUNIC,http%3A%2F%2Fdbpedia.org%2Fresource%2FCommunic
40410,COMMUNIC,http%3A%2F%2Fdbpedia.org%2Fresource%2FCommunic
46604,COMMUNIC,http%3A%2F%2Fdbpedia.org%2Fresource%2FCommunic
48765,library,http%3A%2F%2Fdbpedia.org%2Fresource%2FLibrary
7106,Acousmatic,http%3A%2F%2Fdbpedia.org%2Fresource%2FAcousmatic_sound
7106,psychoacoustics,http%3A%2F%2Fdbpedia.org%2Fresource%2FPsychoacoustics
40478,microsound,http%3A%2F%2Fdbpedia.org%2Fresource%2FMicrosound
40478,plunderphonics,http%3A%2F%2Fdbpedia.org%2Fresource%2FPlunderphonics
40479,installation art,http%3A%2F%2Fdbpedia.org%2Fresource%2FInstallation_art
7185,perfect competition,http%3A%2F%2Fdbpedia.org%2Fresource%2FPerfect_competition
7185,oligopoly,http%3A%2F%2Fdbpedia.org%2Fresource%2FOligopoly
7185,general equilibrium,http%3A%2F%2Fdbpedia.org%2Fresource%2FGeneral_equilibrium_theory
7185,economics,http%3A%2F%2Fdbpedia.org%2Fresource%2FEconomic_equilibrium
45974,public choice,http%3A%2F%2Fdbpedia.org%2Fresource%2FPublic_choice
49634,economics,http%3A%2F%2Fdbpedia.org%2Fresource%2FEconomics
49634,microeconomics,http%3A%2F%2Fdbpedia.org%2Fresource%2FMicroeconomics
49634,economics,http%3A%2F%2Fdbpedia.org%2Fresource%2FEconomics
7654,educational psychology,http%3A%2F%2Fdbpedia.org%2Fresource%2FEducational_psychology
7669,The format,http%3A%2F%2Fdbpedia.org%2Fresource%2FThe_Format
7669,interact,http%3A%2F%2Fdbpedia.org%2Fresource%2FInteraction
7689,observational techniques,http%3A%2F%2Fdbpedia.org%2Fresource%2FObservational_techniques
7697,mathematics,http%3A%2F%2Fdbpedia.org%2Fresource%2FMathematics_education
7697,mathematics,http%3A%2F%2Fdbpedia.org%2Fresource%2FMathematics_education
7698,mathematics,http%3A%2F%2Fdbpedia.org%2Fresource%2FMathematics_education
7698,geometry,http%3A%2F%2Fdbpedia.org%2Fresource%2FGeometry
7698,mathematics,http%3A%2F%2Fdbpedia.org%2Fresource%2FMathematics_education
7699,mathematics,http%3A%2F%2Fdbpedia.org%2Fresource%2FMathematics_education
7699,geometry,http%3A%2F%2Fdbpedia.org%2Fresource%2FGeometry
7699,mathematics,http%3A%2F%2Fdbpedia.org%2Fresource%2FMathematics_education
7718,Internet,http%3A%2F%2Fdbpedia.org%2Fresource%2FInternet
7742,observational techniques,http%3A%2F%2Fdbpedia.org%2Fresource%2FObservational_techniques
7777,QUEBEC,http%3A%2F%2Fdbpedia.org%2Fresource%2FQuebec
7964,common-mode rejection ratio,http%3A%2F%2Fdbpedia.org%2Fresource%2FCommon-mode_rejection_ratio
7964,common gate,http%3A%2F%2Fdbpedia.org%2Fresource%2FCommon_gate
7964,common drain,http%3A%2F%2Fdbpedia.org%2Fresource%2FCommon_drain
7964,common emitter,http%3A%2F%2Fdbpedia.org%2Fresource%2FCommon_emitter
7964,loop gain,http%3A%2F%2Fdbpedia.org%2Fresource%2FLoop_gain
7964,class AB amplifier,http%3A%2F%2Fdbpedia.org%2Fresource%2FAmplifier
7966,Electroluminescence,http%3A%2F%2Fdbpedia.org%2Fresource%2FElectroluminescence
7966,photoluminescence,http%3A%2F%2Fdbpedia.org%2Fresource%2FPhotoluminescence
7966,semiconductor,http%3A%2F%2Fdbpedia.org%2Fresource%2FSemiconductor
7966,semiconductor,http%3A%2F%2Fdbpedia.org%2Fresource%2FSemiconductor
7980,Frequency response,http%3A%2F%2Fdbpedia.org%2Fresource%2FFrequency_response
7985,Schottky,http%3A%2F%2Fdbpedia.org%2Fresource%2FSchottky_diode
7985,photolithography,http%3A%2F%2Fdbpedia.org%2Fresource%2FPhotolithography
7987,VLSI,http%3A%2F%2Fdbpedia.org%2Fresource%2FVery-large-scale_integration
7987,CMOS,http%3A%2F%2Fdbpedia.org%2Fresource%2FCMOS
7987,MOSFET,http%3A%2F%2Fdbpedia.org%2Fresource%2FMOSFET
7987,integrated circuit,http%3A%2F%2Fdbpedia.org%2Fresource%2FIntegrated_circuit
7987,current mirror,http%3A%2F%2Fdbpedia.org%2Fresource%2FCurrent_mirror
7987,integrated circuit,http%3A%2F%2Fdbpedia.org%2Fresource%2FIntegrated_circuit
7987,transconductance,http%3A%2F%2Fdbpedia.org%2Fresource%2FTransconductance
7987,transimpedance,http%3A%2F%2Fdbpedia.org%2Fresource%2FTransconductance
7987,VLSI,http%3A%2F%2Fdbpedia.org%2Fresource%2FVery-large-scale_integration
7988,VLSI,http%3A%2F%2Fdbpedia.org%2Fresource%2FVery-large-scale_integration
7988,VLSI,http%3A%2F%2Fdbpedia.org%2Fresource%2FVery-large-scale_integration
7988,thermal oxidation,http%3A%2F%2Fdbpedia.org%2Fresource%2FThermal_oxidation
